agent_id,persona_base,persona_mixture,income_monthly,housing_ratio,wtp_monthly,bed_need,sf_pref_low,sf_pref_high,floor_pref,noise_tol,elasticity,cultural_fit,availability_month,style_words,amenity_rank
A0001,young_pro,"{'young_pro': 0.318, 'grad_student_intl': 0.246, 'affluent_couple': 0.175, 'med_resident': 0.177, 'retired_urbanite': 0.084}",10212.0,0.295,2971,1,470,595,high,low,0.82,0.57,5,"['soft_light', 'minimal', 'task_lighting']","['laundry', 'in_unit_laundry', 'laundry_shared']"
A0002,young_pro,"{'young_pro': 0.314, 'grad_student_intl': 0.172, 'affluent_couple': 0.246, 'med_resident': 0.148, 'retired_urbanite': 0.12}",9810.0,0.251,2481,2,497,702,med,low,0.99,0.57,4,"['art_display', 'minimal', 'modern_lux']","['quiet_zone', '24hr_access', 'roof_deck']"
A0003,young_pro,"{'young_pro': 0.295, 'grad_student_intl': 0.265, 'affluent_couple': 0.226, 'med_resident': 0.156, 'retired_urbanite': 0.058}",8081.0,0.327,2621,2,604,746,med,high,1.07,0.57,1,"['warm_wood', 'task_lighting', 'art_display']","['in_unit_laundry', 'gym', 'bike_storage']"
A0004,young_pro,"{'young_pro': 0.309, 'grad_student_intl': 0.287, 'affluent_couple': 0.175, 'med_resident': 0.101, 'retired_urbanite': 0.127}",8300.0,0.261,2118,2,602,777,low,high,0.99,0.69,3,"['warm_wood', 'task_lighting', 'soft_brightness']","['laundry_shared', 'roof_deck', 'wifi']"
A0005,grad_student_intl,"{'young_pro': 0.265, 'grad_student_intl': 0.278, 'affluent_couple': 0.199, 'med_resident': 0.138, 'retired_urbanite': 0.12}",7181.0,0.265,1892,1,566,731,med,med,0.9,0.57,3,"['soft_light', 'art_display', 'modern_lux']","['gym', 'community_room', 'laundry_shared']"
A0006,young_pro,"{'young_pro': 0.315, 'grad_student_intl': 0.191, 'affluent_couple': 0.191, 'med_resident': 0.172, 'retired_urbanite': 0.131}",6308.0,0.28,1724,1,454,644,med,med,0.96,0.37,1,"['matte_black', 'soft_light', 'budget_friendly']","['24hr_access', 'wifi', 'package_room']"
A0007,young_pro,"{'young_pro': 0.325, 'grad_student_intl': 0.158, 'affluent_couple': 0.269, 'med_resident': 0.145, 'retired_urbanite': 0.103}",6164.0,0.297,1876,1,635,820,med,low,0.9,0.65,1,"['warm_wood', 'non_slip', 'task_lighting']","['gym', 'in_unit_laundry', 'wifi']"
A0008,grad_student_intl,"{'young_pro': 0.263, 'grad_student_intl': 0.296, 'affluent_couple': 0.206, 'med_resident': 0.103, 'retired_urbanite': 0.132}",7973.0,0.271,2153,1,736,900,med,med,0.86,0.55,1,"['minimal', 'warm_wood', 'soft_light']","['laundry_shared', 'roof_deck', 'wifi']"
A0009,young_pro,"{'young_pro': 0.261, 'grad_student_intl': 0.25, 'affluent_couple': 0.228, 'med_resident': 0.15, 'retired_urbanite': 0.112}",7257.0,0.253,1849,2,536,649,med,low,1.05,0.56,4,"['minimal', 'modern_lux', 'soft_brightness']","['accessibility', '24hr_access', 'community_room']"
A0010,young_pro,"{'young_pro': 0.406, 'grad_student_intl': 0.187, 'affluent_couple': 0.18, 'med_resident': 0.136, 'retired_urbanite': 0.091}",8430.0,0.306,2592,1,513,711,low,low,0.91,0.61,5,"['modern_lux', 'task_lighting', 'budget_friendly']","['roof_deck', 'gym', 'quiet_zone']"
